StatusExistingAcc,CreditHistory,Purpose,SavingsAccount,EmploymentLength,InstallmentRate,MarriedNSex,Debtors,ResidenceLength,Property,InstallmentPlans,Housing,ExistingCredit,Job,NumPeopleLiable,Telephone,ForeignWorker,CreditEval,DurationMonth_C,CreditAmount_C,Age_C,rank
12,33,0,62,75,2,93,101,4,123,143,152,4,174,1,192,201,2,2,3,2,1
11,34,9,61,75,4,93,101,4,123,142,152,4,174,2,192,201,1,2,2,2,2
11,34,0,61,75,1,92,101,4,121,141,151,3,173,1,192,201,2,1,2,1,3
12,34,2,61,75,1,93,101,4,123,143,151,3,173,1,192,201,1,1,2,1,4
11,34,0,61,75,2,93,101,4,124,143,153,3,174,1,192,201,1,1,3,2,5
11,33,9,61,75,3,93,101,4,124,143,152,2,173,1,192,201,2,3,3,3,6
14,34,3,65,75,4,93,101,4,121,143,152,4,173,1,191,201,1,1,1,3,7
11,30,1,61,75,3,93,101,4,124,143,153,2,173,2,191,201,2,2,3,1,8
14,32,5,65,75,4,93,101,4,122,143,152,4,173,2,192,201,1,2,3,2,9
11,34,2,61,75,1,92,101,4,122,143,152,2,173,1,191,201,1,1,3,1,10
11,34,0,61,75,1,92,101,4,124,143,152,2,173,1,192,201,1,1,1,2,11
12,34,3,61,75,2,93,101,4,121,143,152,3,172,1,191,201,1,1,1,2,12
14,34,1,65,75,1,93,101,4,123,143,152,2,173,1,191,201,1,2,3,3,13
14,32,0,61,75,2,93,101,4,122,143,152,1,174,1,192,201,1,3,3,2,14
13,34,0,61,75,1,93,101,4,121,143,152,2,173,2,191,202,1,1,1,2,15
14,34,1,61,75,1,93,101,4,123,143,152,1,174,1,192,201,1,1,2,2,16
14,32,3,62,75,2,93,101,4,123,143,152,2,173,1,191,201,2,1,2,1,17
14,34,6,61,75,2,92,101,4,124,141,153,3,172,1,191,201,1,1,2,3,18
11,34,1,61,75,2,92,101,4,124,143,153,2,174,2,192,201,1,1,3,2,19
11,34,3,64,75,4,92,101,4,122,143,151,2,174,1,192,201,1,1,1,3,20
12,33,0,61,75,4,93,101,4,124,141,153,2,173,1,192,201,2,2,2,3,21
11,34,1,61,75,3,93,101,4,124,143,153,3,174,2,192,201,1,2,3,2,22
12,30,9,61,75,2,92,101,4,124,143,153,2,174,1,192,201,2,2,3,2,23
11,33,2,61,75,1,92,101,4,122,143,152,2,172,1,191,201,1,1,2,1,24
14,34,3,61,75,4,93,101,4,121,143,152,3,173,1,191,201,1,1,1,3,25
14,31,0,61,75,2,93,101,4,124,141,152,2,174,2,192,201,2,1,3,2,26
12,31,10,62,75,3,92,101,4,124,141,153,2,174,1,192,201,2,3,3,3,27
12,32,3,65,75,2,92,101,4,123,143,152,1,173,1,191,201,1,2,2,1,28
14,30,2,61,75,2,93,101,4,122,143,152,2,173,1,191,201,1,1,2,1,29
11,34,1,61,75,4,93,101,4,124,143,153,2,173,1,192,201,2,2,3,2,30
11,34,1,62,74,1,94,101,4,123,143,151,2,173,1,191,201,1,2,3,1,31
14,32,6,61,75,4,93,101,4,122,141,152,3,173,2,192,201,1,1,1,2,32
13,34,0,62,75,2,91,101,4,123,143,152,2,173,2,192,201,1,1,1,1,33
11,34,10,61,75,3,93,101,4,124,141,153,2,174,2,192,201,1,1,1,3,34
11,30,9,61,75,2,93,101,4,123,143,151,2,173,1,191,201,2,2,3,1,35
14,34,0,65,75,2,93,101,4,124,141,153,1,174,1,192,201,1,3,3,3,36
12,32,9,61,75,2,92,101,4,122,143,152,1,173,2,191,201,2,1,1,2,37
14,32,2,61,75,4,93,101,4,122,141,152,3,173,2,192,201,1,1,2,2,38
12,34,0,65,75,4,93,101,4,121,143,152,2,173,1,191,201,1,2,2,2,39
14,34,2,61,75,4,93,101,4,121,143,152,3,173,1,192,201,1,1,1,2,40
14,33,0,65,75,4,94,101,4,123,143,152,2,173,1,192,201,1,1,1,3,41
11,32,1,61,75,2,93,101,4,124,143,153,1,173,2,191,201,1,2,3,2,42
14,32,2,61,75,1,93,101,4,123,143,152,1,173,1,191,201,1,1,1,1,43
11,32,0,61,74,2,93,101,4,124,141,153,1,174,2,192,201,1,2,2,2,44
14,34,1,65,75,4,93,101,3,123,143,152,2,173,2,192,201,1,2,2,2,45
11,32,3,61,75,1,93,103,3,122,143,152,1,173,2,191,201,1,2,2,2,46
14,34,3,65,75,1,93,102,4,121,143,152,1,173,1,192,201,1,1,2,2,47
12,30,9,61,75,4,93,101,4,124,143,153,1,174,1,192,201,2,2,1,3,48
11,32,6,65,75,4,93,101,4,124,143,152,1,174,1,192,201,2,2,1,2,49
14,34,3,61,75,2,93,101,4,121,143,152,2,172,1,192,201,1,1,1,3,50
11,30,2,61,75,3,93,101,4,124,141,151,2,173,2,191,201,2,1,3,1,51
14,34,0,61,75,4,93,101,4,123,143,152,2,174,1,192,201,1,2,3,1,52
12,32,3,61,74,4,93,101,4,121,143,152,2,173,1,191,201,2,2,2,1,53
14,34,1,65,75,2,93,101,4,124,143,153,2,173,1,191,201,1,2,3,2,54
14,34,0,64,75,4,92,101,4,121,143,152,2,173,1,192,201,1,1,1,2,55
11,32,1,65,75,2,92,101,4,121,143,151,1,173,1,191,201,1,1,2,1,56
11,34,0,61,75,4,93,101,4,121,143,152,2,173,1,191,201,1,1,1,3,57
14,32,3,65,75,2,92,101,4,121,143,152,1,172,1,192,201,1,2,2,2,58
14,34,6,61,75,4,93,101,4,124,143,153,2,173,2,191,201,1,1,1,3,59
12,34,6,61,75,2,92,101,3,123,143,152,2,174,1,192,201,2,1,1,1,60
11,34,2,63,73,1,92,101,4,123,143,152,2,173,1,191,201,2,2,3,1,61
12,34,9,61,75,4,91,101,4,121,143,152,2,173,1,192,201,2,1,1,1,62
12,30,9,61,73,1,93,101,4,121,143,152,3,172,1,192,201,2,1,3,2,63
11,34,1,61,75,4,92,101,4,124,142,153,2,172,1,191,201,2,2,3,3,64
11,32,2,64,75,4,92,101,4,122,143,151,2,173,1,192,201,1,2,2,3,65
14,33,0,61,75,4,93,101,4,124,143,153,2,173,1,192,201,1,1,2,3,66
11,32,9,61,75,4,93,102,4,124,143,151,1,173,1,191,201,2,3,3,2,67
14,34,3,62,75,4,93,101,4,122,141,152,2,173,1,191,201,1,1,2,3,68
14,32,0,63,75,4,93,101,4,122,143,152,1,173,1,191,201,1,2,1,2,69
11,34,5,62,75,3,93,103,4,121,143,152,2,173,2,191,202,1,1,1,2,70
14,33,3,65,75,3,93,101,3,123,141,152,2,173,2,191,201,1,2,3,1,71
14,34,3,65,75,4,93,101,4,122,143,152,2,173,1,191,201,1,1,2,3,72
11,34,1,61,75,4,93,101,4,124,143,153,2,174,1,191,201,1,1,1,3,73
14,34,5,61,75,3,93,101,4,124,143,153,2,173,1,191,201,1,1,3,2,74
13,33,9,61,75,4,93,101,4,121,143,152,1,174,1,192,201,2,2,1,3,75
12,34,3,61,75,3,92,103,4,121,141,151,2,172,1,192,201,1,1,1,2,76
13,32,0,62,75,1,92,101,4,124,143,153,1,172,2,191,201,2,1,1,2,77
14,34,1,64,75,3,93,101,4,124,143,151,2,173,1,192,201,1,1,2,1,78
12,33,1,61,75,1,93,101,2,123,143,152,2,174,1,192,201,1,2,3,1,79
14,34,0,65,75,1,92,101,4,123,143,152,1,173,1,192,201,1,1,3,3,80
14,33,2,63,74,2,92,101,4,123,143,152,2,173,1,192,201,1,2,3,2,81
11,34,1,61,75,4,93,101,4,122,143,152,2,173,1,192,201,1,1,2,3,82
14,34,9,65,75,4,93,101,4,121,143,152,2,173,1,191,201,1,2,3,2,83
12,33,0,61,73,1,91,101,4,122,143,152,2,173,1,191,201,1,1,2,2,84
14,34,3,64,75,4,93,101,4,123,143,152,2,173,1,191,201,1,1,1,2,85
14,32,0,63,75,1,92,101,4,124,143,153,1,173,1,191,201,1,1,3,2,86
11,34,0,61,75,2,93,103,4,122,141,151,1,173,1,192,201,2,1,2,2,87
11,34,0,61,75,4,93,101,4,123,143,152,2,172,1,191,201,2,1,1,3,88
14,32,3,62,74,2,92,101,4,121,143,152,1,173,1,192,201,1,3,3,1,89
12,32,3,65,75,2,92,101,4,123,143,152,1,173,1,192,201,1,1,3,2,90
13,34,2,65,75,4,93,102,4,124,143,151,2,173,1,191,201,1,1,2,1,91
11,32,0,61,75,4,93,101,4,124,141,153,1,174,1,191,201,2,2,3,2,92
13,32,3,62,75,2,91,101,4,121,143,152,1,173,1,191,201,1,1,1,2,93
14,32,3,63,75,4,93,101,4,123,143,152,1,173,1,191,201,1,2,2,2,94
12,34,3,61,75,4,93,101,4,121,143,152,1,173,1,191,201,1,2,2,2,95
14,34,3,63,75,4,93,101,4,122,143,152,2,173,2,192,201,1,1,1,2,96
13,32,2,65,75,3,92,101,4,121,143,152,1,174,1,192,201,1,1,1,3,97
11,32,1,61,74,4,93,101,4,124,142,153,3,173,2,192,201,2,2,3,2,98
11,34,2,61,75,4,93,101,4,123,143,152,2,173,2,192,201,1,1,1,2,99
12,34,3,65,75,4,93,103,4,121,143,152,2,173,1,192,201,1,1,1,3,100
12,32,8,65,75,4,93,101,4,122,143,152,2,173,1,191,201,1,1,1,2,101
11,31,2,61,75,4,93,101,4,123,141,152,1,173,1,191,201,2,2,2,1,102
12,34,0,61,75,3,93,103,3,121,141,152,2,173,1,191,201,2,1,1,1,103
14,34,3,65,75,4,93,101,4,123,143,152,2,173,1,191,201,1,1,1,2,104
12,30,1,62,75,3,94,101,4,123,141,152,2,173,1,192,201,1,1,3,1,105
14,34,0,61,75,3,93,101,4,121,143,152,2,172,2,191,202,1,1,1,1,106
14,34,3,61,75,4,93,101,4,123,143,152,2,173,1,192,201,1,1,1,2,107
11,32,3,65,74,2,94,101,4,123,143,151,2,172,1,191,201,1,1,1,1,108
11,31,9,61,74,2,92,103,4,123,143,151,1,173,1,191,201,2,2,3,2,109
13,34,9,64,73,2,91,101,4,121,143,152,2,173,1,192,201,1,1,1,2,110
13,34,3,65,75,4,93,101,4,122,142,152,2,172,1,191,201,1,2,2,2,111
14,32,2,63,75,3,93,101,4,122,143,152,1,173,1,191,201,1,1,2,3,112
12,33,6,61,75,4,93,101,4,124,143,153,1,173,1,191,201,2,2,3,3,113
14,34,3,62,75,3,93,101,4,121,143,152,1,173,2,192,201,1,1,2,2,114
