age_binary, sex_binary, race_C, MarriageStatus_C, juv_fel_count_C, decile_score_C, juv_misd_count_C, juv_other_count_C, priors_count_C, days_b_screening_arrest_C, c_days_from_compas_C, c_charge_degree_C, v_decile_score_C, start_C, end_C, event_C
group [0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att age_binary = 0 size 4230 avg -26.038565921644217
group [0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att age_binary = 1 size 0
group [0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att sex_binary = 0 size 3431 avg 17.028807536006884
group [0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att sex_binary = 1 size 799 avg -89.40123956403262
group [0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att race_C = 0 size 2461 avg 26.493344055783627
group [0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att race_C = 1 size 1179 avg -21.676372409278276
group [0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att race_C = 2 size 590 avg -69.8460888743387
group [0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att MarriageStatus_C = 0 size 3745 avg 7.655340856733909
group [0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att MarriageStatus_C = 1 size 244 avg -7.655340856733806
group [0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att MarriageStatus_C = 2 size 53 avg -22.966022570200433
group [0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att MarriageStatus_C = 3 size 17 avg -38.276704283667726
group [0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att MarriageStatus_C = 4 size 130 avg -53.587385997134085
group [0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att MarriageStatus_C = 5 size 2 avg -68.89806771060111
group [0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att MarriageStatus_C = 6 size 39 avg -84.20874942406778
