,age,workclass,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,act,pred
0,1,2,15,10,4,3,1,4,0,0,1,0,38,0,[1]
1,1,2,11,9,2,13,0,1,1,0,0,1,38,0,[1]
2,1,2,11,9,2,2,0,4,1,0,0,1,38,1,[0]
3,1,2,12,14,2,9,0,4,1,0,0,0,38,1,[0]
4,1,2,11,9,2,11,0,4,1,0,0,0,38,1,[0]
5,0,0,15,10,4,7,1,4,0,0,0,0,38,1,[0]
6,1,2,11,9,2,11,0,4,1,0,1,1,38,0,[1]
7,1,3,9,13,4,9,1,4,0,0,0,1,38,1,[0]
8,0,2,9,13,2,11,0,4,1,0,0,0,38,0,[1]
9,1,2,11,9,2,13,0,4,1,0,0,0,38,0,[1]
10,2,4,14,15,2,9,0,4,1,0,0,0,38,0,[1]
11,1,2,11,9,2,0,5,4,0,0,0,0,38,1,[0]
12,1,4,9,13,2,9,0,4,1,0,0,1,38,1,[0]
13,1,2,9,13,0,3,1,4,1,0,0,1,38,1,[0]
14,2,2,15,10,2,9,0,2,1,0,0,1,13,1,[0]
15,1,2,8,11,2,2,0,4,1,0,0,0,38,1,[0]
16,1,2,11,9,2,11,0,4,1,0,0,1,38,1,[0]
17,2,2,9,13,2,5,0,4,1,0,0,0,21,1,[0]
18,1,2,11,9,2,7,5,2,0,0,0,0,38,0,[1]
19,2,2,6,5,0,2,4,4,0,0,0,0,4,0,[1]
20,2,2,15,10,4,3,1,4,1,0,0,0,38,0,[1]
21,1,2,8,11,0,11,1,4,1,0,0,1,38,1,[0]
22,0,2,9,13,2,7,5,4,0,0,0,0,38,1,[0]
23,1,2,9,13,2,13,0,4,1,0,0,0,38,1,[0]
24,2,2,12,14,2,9,0,4,1,1,0,0,38,0,[1]
25,2,5,9,13,2,9,0,2,1,0,0,0,38,1,[0]
26,1,2,15,10,2,13,0,4,1,0,0,1,38,1,[0]
27,1,0,9,13,2,9,0,4,1,0,0,0,38,0,[1]
28,1,2,15,10,2,2,0,4,1,0,0,0,38,1,[0]
29,0,2,9,13,2,9,5,4,0,0,0,1,38,1,[0]
30,2,2,11,9,2,2,0,2,1,0,0,0,38,0,[1]
31,2,2,11,9,2,2,0,4,1,0,0,1,38,1,[0]
32,0,4,7,12,4,2,3,4,1,0,0,0,38,0,[1]
33,1,2,9,13,2,11,0,4,1,0,0,1,38,0,[1]
