StatusExistingAcc,DurationMonth_x,CreditHistory,Purpose,CreditAmount_x,SavingsAccount,EmploymentLength,InstallmentRate,MarriedNSex,Debtors,ResidenceLength,Property,Age,InstallmentPlans,Housing,ExistingCredit,Job,NumPeopleLiable,Telephone,ForeignWorker,CreditEval,AgeBinary,DurationMonth_y,CreditAmount_y,score,age25,DurationMonth_C,CreditAmount_C,Age_C
11,6,34,3,1169,65,75,4,93,101,4,121,67,143,152,2,173,1,192,201,1,other,0.029411765,0.949433256,0.600715353,0,1,1,3
12,48,32,3,5951,61,73,2,92,101,2,121,22,143,152,1,173,1,191,201,2,young,0.647058824,0.686310113,0.496130655,1,2,3,1
14,12,34,6,2096,61,74,2,93,101,3,121,49,143,152,1,172,2,191,201,1,other,0.117647059,0.898426323,0.506866366,0,1,2,2
11,42,32,2,7882,61,74,2,93,103,4,122,45,143,153,1,173,2,191,201,1,other,0.558823529,0.580059426,0.5994821,0,2,3,2
11,24,33,0,4870,61,73,3,93,101,4,124,53,143,153,2,173,2,191,201,2,other,0.294117647,0.74579069,0.550060466,0,1,3,3
14,36,32,6,9055,65,73,2,93,101,4,124,35,143,153,1,172,2,192,201,1,other,0.470588235,0.515516672,0.501290835,0,2,3,2
14,24,32,2,2835,63,75,3,93,101,4,122,53,143,152,1,173,1,191,201,1,other,0.294117647,0.857763838,0.617404307,0,1,2,3
12,36,32,1,6948,61,73,2,93,101,2,123,35,143,151,1,174,1,192,201,1,other,0.470588235,0.631451524,0.476348482,0,2,3,2
14,12,32,3,3059,64,74,2,91,101,4,121,61,143,152,1,172,1,191,201,1,other,0.117647059,0.845438539,0.543519801,0,1,2,3
12,30,34,0,5234,61,71,4,94,101,2,123,28,143,152,2,174,1,191,201,2,other,0.382352941,0.725762078,0.368951631,0,2,3,1
12,12,32,0,1295,61,72,3,92,101,1,123,25,143,151,1,173,1,191,201,2,young,0.117647059,0.942500275,0.321267721,0,1,1,1
