StatusExistingAcc,DurationMonth_x,CreditHistory,Purpose,CreditAmount_x,SavingsAccount,EmploymentLength,InstallmentRate,MarriedNSex,Debtors,ResidenceLength,Property,Age,InstallmentPlans,Housing,ExistingCredit,Job,NumPeopleLiable,Telephone,ForeignWorker,CreditEval,AgeBinary,DurationMonth_y,CreditAmount_y,score,age25
11,6,34,43,1169,65,75,4,93,101,4,121,67,143,152,2,173,1,192,201,1,other,0.029411765,0.949433256,0.600715353,0
12,48,32,43,5951,61,73,2,92,101,2,121,22,143,152,1,173,1,191,201,2,young,0.647058824,0.686310113,0.496130655,1
14,12,34,46,2096,61,74,2,93,101,3,121,49,143,152,1,172,2,191,201,1,other,0.117647059,0.898426323,0.506866366,0
11,42,32,42,7882,61,74,2,93,103,4,122,45,143,153,1,173,2,191,201,1,other,0.558823529,0.580059426,0.5994821,0
11,24,33,40,4870,61,73,3,93,101,4,124,53,143,153,2,173,2,191,201,2,other,0.294117647,0.74579069,0.550060466,0
14,36,32,46,9055,65,73,2,93,101,4,124,35,143,153,1,172,2,192,201,1,other,0.470588235,0.515516672,0.501290835,0
14,24,32,42,2835,63,75,3,93,101,4,122,53,143,152,1,173,1,191,201,1,other,0.294117647,0.857763838,0.617404307,0
12,36,32,41,6948,61,73,2,93,101,2,123,35,143,151,1,174,1,192,201,1,other,0.470588235,0.631451524,0.476348482,0
14,12,32,43,3059,64,74,2,91,101,4,121,61,143,152,1,172,1,191,201,1,other,0.117647059,0.845438539,0.543519801,0
12,30,34,40,5234,61,71,4,94,101,2,123,28,143,152,2,174,1,191,201,2,other,0.382352941,0.725762078,0.368951631,0
12,12,32,40,1295,61,72,3,92,101,1,123,25,143,151,1,173,1,191,201,2,young,0.117647059,0.942500275,0.321267721,0
11,48,32,49,4308,61,72,3,92,101,4,122,24,143,151,1,173,1,191,201,2,young,0.647058824,0.776713987,0.528453856,1
12,12,32,43,1567,61,73,1,92,101,1,123,22,143,152,1,173,1,192,201,1,young,0.117647059,0.92753384,0.4270104,1
11,24,34,40,1199,61,75,4,93,101,4,123,60,143,152,2,172,1,191,201,2,other,0.294117647,0.947782546,0.626400036,0
11,15,32,40,1403,61,73,2,92,101,4,123,28,143,151,1,173,1,191,201,1,other,0.161764706,0.93655772,0.545424327,0
11,24,32,43,1282,62,73,4,92,101,2,123,32,143,152,1,172,1,191,201,2,other,0.294117647,0.943215583,0.392992229,0
14,24,34,43,2424,65,75,4,93,101,4,122,53,143,152,2,173,1,191,201,1,other,0.294117647,0.880378563,0.637115574,0
11,30,30,49,8072,65,72,2,93,101,3,123,25,141,152,3,173,1,191,201,1,young,0.382352941,0.56960493,0.518193712,0
12,24,32,41,12579,61,75,4,92,101,2,124,44,143,153,1,174,1,192,201,2,other,0.294117647,0.321613294,0.416880175,0
14,24,32,43,3430,63,75,3,93,101,2,123,31,143,152,1,173,2,192,201,1,other,0.294117647,0.825024761,0.51829006,0
14,9,34,40,2134,61,73,4,93,101,4,123,48,143,152,3,173,1,192,201,1,other,0.073529412,0.896335424,0.552532993,0
11,6,32,43,2647,63,73,2,93,101,3,121,44,143,151,1,173,2,191,201,1,other,0.029411765,0.868108287,0.461554118,0
11,10,34,40,2241,61,72,1,93,101,3,121,48,143,151,2,172,2,191,202,1,other,0.088235294,0.890447893,0.484406174,0
12,12,34,41,1804,62,72,3,93,101,4,122,44,143,152,1,173,1,191,201,1,other,0.117647059,0.914493232,0.455591992,0
14,10,34,42,2069,65,73,2,94,101,1,123,26,143,152,2,173,1,191,202,1,other,0.088235294,0.899911962,0.431903366,0
11,6,32,42,1374,61,73,1,93,101,2,121,36,141,152,1,172,1,192,201,1,other,0.029411765,0.938153406,0.435826078,0
14,6,30,43,426,61,75,4,94,101,4,123,39,143,152,1,172,1,191,201,1,other,0.029411765,0.990315836,0.538553972,0
