StatusExistingAcc,DurationMonth_C,CreditHistory,Purpose,CreditAmount_C,SavingsAccount,EmploymentLength,InstallmentRate,MarriedNSex,Debtors,ResidenceLength,Property,Age_C,InstallmentPlans,Housing,ExistingCredit,Job,NumPeopleLiable,Telephone,ForeignWorker,score,rank
13,1,32,5,3,62,75,3,92,102,1,121,1,141,152,3,172,2,191,202,0.999495630442996,1
12,1,31,7,2,64,75,4,93,101,4,124,2,143,153,4,172,1,192,201,0.9994394269065204,2
11,1,33,8,1,62,75,2,93,102,1,123,1,143,151,2,173,2,192,201,0.9978994740404628,3
14,1,34,9,2,65,72,2,94,102,3,122,1,141,151,3,174,1,191,202,0.9978353474594014,4
14,1,33,10,3,63,73,3,91,101,3,123,1,142,151,3,174,2,191,201,0.9976889286842334,5
11,1,32,6,3,63,74,4,91,101,4,122,3,143,151,4,171,2,191,201,0.9974216452228628,6
13,3,33,9,3,63,71,2,92,101,1,123,1,141,151,2,173,1,191,201,0.996643946501604,7
13,2,30,7,3,61,74,2,92,102,3,124,2,143,151,4,174,2,192,202,0.9962654697800556,8
12,3,33,5,1,61,73,3,92,103,2,124,1,141,152,2,174,2,192,201,0.996169241382477,9
11,1,31,1,3,62,74,4,93,102,1,124,1,141,152,2,173,1,192,202,0.9955142310856192,10
14,1,33,10,3,63,75,1,91,103,1,124,2,142,153,1,174,2,192,202,0.9952405504392172,11
12,3,33,10,2,61,72,3,91,101,4,121,3,141,152,1,173,1,191,202,0.9938616504149852,12
12,3,30,3,1,63,72,4,91,103,4,122,3,143,153,3,174,2,192,201,0.9935890100236852,13
12,2,34,6,1,64,72,3,94,102,1,124,1,141,152,1,174,1,191,202,0.9930390212788488,14
14,1,34,1,1,63,74,3,94,101,3,122,1,141,152,4,173,2,192,201,0.9926605659781436,15
14,3,32,9,1,65,73,1,93,101,3,122,2,142,153,3,171,1,191,202,0.9925347526188592,16
12,2,32,5,3,63,73,4,94,102,3,123,2,142,152,1,174,2,191,201,0.9917510909597516,17
11,1,31,6,1,64,73,2,94,102,1,122,1,141,152,2,171,2,192,201,0.9914431071515892,18
13,2,34,10,1,63,75,1,92,102,2,124,3,143,152,4,171,2,191,202,0.9908280028757664,19
13,3,31,4,2,65,74,4,92,102,1,124,3,142,152,1,173,2,191,202,0.9906899058968688,20
13,3,33,0,1,65,71,3,93,103,3,121,1,142,152,4,172,2,191,201,0.9882592219717298,21
13,3,31,6,2,63,73,3,94,103,4,122,2,142,153,2,174,2,192,202,0.988015674398052,22
11,3,33,10,2,63,71,2,93,103,1,122,2,142,151,1,173,1,192,202,0.9875822463063204,23
12,2,33,9,1,61,74,1,94,103,2,121,3,143,152,4,174,2,192,201,0.9863847790733272,24
13,1,30,5,2,62,72,2,92,103,2,123,2,143,151,1,171,1,191,201,0.985970735282622,25
14,3,30,8,2,62,71,2,94,101,1,122,2,142,151,4,171,1,192,202,0.985668163135849,26
14,2,32,8,1,63,74,4,91,103,4,122,2,143,152,1,174,2,191,201,0.985594864825081,27
13,2,34,9,3,62,73,1,92,103,2,122,2,143,151,2,171,1,192,202,0.9853878146159898,28
14,3,33,4,1,65,71,2,91,103,3,124,1,141,152,1,174,1,191,202,0.985055365756006,29
12,1,32,6,2,65,74,3,92,102,3,122,3,143,153,2,172,2,191,201,0.9847242945749608,30
11,3,33,6,3,62,72,4,92,101,2,121,3,141,152,3,172,1,191,201,0.9841216056195844,31
12,2,34,0,1,65,73,1,93,103,2,124,3,143,152,4,173,2,192,201,0.9839863161046588,32
13,3,31,5,3,64,75,4,93,101,3,122,3,142,152,1,174,1,191,201,0.9824470668572652,33
