school,sex,age_binary,address,famsize,Pstatus,Medu,Fedu,rank
0,1,0,1,1,0,2,2,1.0
0,0,0,1,1,0,3,4,2.0
0,0,0,0,1,0,1,1,3.0
0,1,0,1,1,0,3,4,4.0
0,0,0,0,1,0,4,4,5.0
0,1,0,1,1,0,3,4,6.0
0,0,0,0,1,1,3,3,7.0
0,1,0,0,1,0,4,3,8.0
0,1,0,0,1,0,2,1,9.0
0,0,0,0,1,0,3,2,10.0
0,1,0,0,1,0,4,4,11.0
0,1,0,0,0,0,1,1,12.0
0,1,1,0,1,0,3,2,13.0
0,1,0,1,0,0,2,1,14.0
0,1,0,0,0,0,1,2,15.0
0,0,0,0,1,0,2,2,16.0
0,1,0,0,1,0,3,4,17.0
0,0,0,0,1,0,1,3,18.0
0,0,0,0,1,0,1,1,19.0
0,1,0,0,1,0,2,2,20.0
0,1,0,0,0,0,4,3,21.0
0,0,0,0,1,0,2,1,22.0
0,0,0,0,0,0,2,2,23.0
0,0,0,0,1,0,2,2,24.0
0,0,0,1,1,0,2,1,25.0
0,0,1,0,1,0,4,4,26.0
0,0,1,0,0,0,1,2,27.0
0,0,0,0,1,0,2,1,28.0
0,0,0,0,1,0,3,3,29.0
0,0,0,0,0,0,2,2,30.0
0,0,0,1,1,0,2,2,31.0
0,0,0,0,1,0,3,2,32.0
0,1,0,0,1,0,4,4,33.0
0,0,0,0,1,1,2,2,34.0
1,0,0,1,1,0,1,1,35.0
1,1,1,1,1,0,1,1,36.0
1,0,1,1,1,0,2,3,37.0
1,0,0,0,1,0,1,1,38.0
0,0,0,0,1,0,4,3,39.0
0,1,0,0,1,0,3,2,40.0
0,0,0,1,1,0,1,1,41.0
0,0,0,0,1,0,3,4,42.0
0,1,0,0,1,0,4,4,43.0
0,1,0,1,0,0,3,3,44.0
1,0,0,1,1,0,1,2,45.0
1,1,0,1,1,0,4,2,46.0
0,0,0,0,1,1,4,4,47.0
0,0,0,0,1,0,1,1,48.0
0,0,0,0,1,1,4,4,49.0
0,0,0,0,1,0,2,3,50.0
0,0,0,0,0,1,4,3,51.0
0,0,0,0,1,0,3,1,52.0
0,0,0,0,0,0,3,2,53.0
0,0,0,0,0,0,2,2,54.0
