school,sex,age_binary,address,famsize,rank
0,1,0,1,1,1.0
0,0,0,1,1,2.0
0,0,0,0,1,3.0
0,1,0,1,1,4.0
0,0,0,0,1,5.0
0,1,0,1,1,6.0
0,0,0,0,1,7.0
0,1,0,0,1,8.0
0,1,0,0,1,9.0
0,0,0,0,1,10.0
0,1,0,0,1,11.0
0,1,0,0,0,12.0
0,1,1,0,1,13.0
0,1,0,1,0,14.0
0,1,0,0,0,15.0
0,0,0,0,1,16.0
0,1,0,0,1,17.0
0,0,0,0,1,18.0
0,0,0,0,1,19.0
0,1,0,0,1,20.0
0,1,0,0,0,21.0
0,0,0,0,1,22.0
0,0,0,0,0,23.0
0,0,0,0,1,24.0
0,0,0,1,1,25.0
0,0,1,0,1,26.0
0,0,1,0,0,27.0
0,0,0,0,1,28.0
0,0,0,0,1,29.0
0,0,0,0,0,30.0
0,0,0,1,1,31.0
0,0,0,0,1,32.0
0,1,0,0,1,33.0
0,0,0,0,1,34.0
1,0,0,1,1,35.0
1,1,1,1,1,36.0
1,0,1,1,1,37.0
1,0,0,0,1,38.0
0,0,0,0,1,39.0
0,1,0,0,1,40.0
0,0,0,1,1,41.0
0,0,0,0,1,42.0
0,1,0,0,1,43.0
0,1,0,1,0,44.0
1,0,0,1,1,45.0
1,1,0,1,1,46.0
0,0,0,0,1,47.0
0,0,0,0,1,48.0
0,0,0,0,1,49.0
0,0,0,0,1,50.0
0,0,0,0,0,51.0
0,0,0,0,1,52.0
0,0,0,0,0,53.0
0,0,0,0,0,54.0
0,0,0,0,0,55.0
0,0,0,0,1,56.0
0,1,0,0,1,57.0
0,0,0,1,1,58.0
0,0,0,1,1,59.0
0,1,0,0,0,60.0
1,0,0,1,1,61.0
0,0,0,0,1,62.0
0,1,0,0,0,63.0
0,1,0,1,1,64.0
0,1,0,1,0,65.0
0,0,0,0,1,66.0
0,0,0,1,1,67.0
0,0,0,1,1,68.0
1,1,0,1,1,69.0
1,1,1,1,1,70.0
0,0,0,1,1,71.0
0,0,0,0,1,72.0
0,0,0,1,0,73.0
0,0,0,0,1,74.0
0,0,0,0,1,75.0
0,0,0,0,1,76.0
0,0,0,0,1,77.0
0,1,0,1,1,78.0
0,0,0,0,1,79.0
0,1,0,1,1,80.0
0,1,0,0,1,81.0
0,0,0,0,0,82.0
0,1,0,0,1,83.0
0,0,1,0,1,84.0
0,1,0,0,1,85.0
0,1,0,0,0,86.0
0,0,0,0,1,87.0
0,1,1,0,1,88.0
0,1,0,0,1,89.0
0,1,0,0,1,90.0
0,1,0,1,1,91.0
0,1,0,0,0,92.0
0,1,0,0,1,93.0
0,0,0,0,1,94.0
0,1,0,0,0,95.0
0,0,0,0,0,96.0
0,1,1,0,1,97.0
0,1,0,0,0,98.0
1,1,1,1,1,99.0
1,1,0,0,0,100.0
1,1,1,1,1,101.0
1,0,0,0,0,102.0
0,0,0,0,1,103.0
0,0,0,0,0,104.0
0,1,0,0,0,105.0
0,0,0,0,0,106.0
0,0,0,0,1,107.0
0,1,0,1,1,108.0
0,0,1,0,1,109.0
0,1,0,0,0,110.0
0,0,0,0,0,111.0
0,1,0,0,0,112.0
0,1,0,1,1,113.0
0,0,0,0,1,114.0
0,0,0,0,1,115.0
0,0,0,0,1,116.0
0,1,0,0,0,117.0
0,1,0,0,1,118.0
0,0,0,0,1,119.0
0,0,1,0,1,120.0
0,0,0,1,1,121.0
0,1,0,0,1,122.0
0,0,0,0,1,123.0
0,0,0,0,1,124.0
0,0,0,0,1,125.0
0,1,0,0,1,126.0
