school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,student's school,student's sex,student's age,student's home address type,family size,parent's cohabitation status,mother's education,father's education,mother's job,father's job,reason to choose this school,student's guardian,home to school travel time,weekly study time,number of past class failures,extra educational support,family educational support,extra paid classes within the course subject,extra-curricular activities,attended nursery school,wants to take higher education,Internet access at home,with a romantic relationship,quality of family relationships,free time after school,going out with friends,workday alcohol consumption,weekend alcohol consumption,current health status,number of school absences,first period grade,second period grade,final grade,rank
GP,F,18,U,GT3,A,4,4,at_home,teacher,course,mother,2,2,0,yes,no,no,no,yes,yes,no,no,4,3,4,1,1,3,6,5,6,6,GP,female,18-20,urban,greater than 3,part,higher education,higher education,at home,teacher,course preference,mother,15 to 30 min,2 to 5 hours,0,yes,no,no,no,yes,yes,no,no,good,average,above average,very low,very low,average,< 30,5 to 10,5 to 10,5 to 10,335.0
GP,F,17,U,GT3,T,1,1,at_home,other,course,father,1,2,0,no,yes,no,no,no,yes,yes,no,5,3,3,1,1,3,4,5,5,6,GP,female,15-17,urban,greater than 3,living together,primary education (4th grade),primary education (4th grade),at home,other,course preference,father,< 15 min,2 to 5 hours,0,no,yes,no,no,no,yes,yes,no,excellent,average,average,very low,very low,average,< 30,5 to 10,5 to 10,5 to 10,336.0
GP,F,15,U,LE3,T,1,1,at_home,other,other,mother,1,2,3,yes,no,yes,no,yes,yes,yes,no,4,3,2,2,3,3,10,7,8,10,GP,female,15-17,urban,less or equal to 3,living together,primary education (4th grade),primary education (4th grade),at home,other,other,mother,< 15 min,2 to 5 hours,3,yes,no,yes,no,yes,yes,yes,no,good,average,below average,below average,average,average,< 30,5 to 10,5 to 10,5 to 10,210.0
GP,F,15,U,GT3,T,4,2,health,services,home,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,yes,3,2,2,1,1,5,2,15,14,15,GP,female,15-17,urban,greater than 3,living together,higher education,5th to 9th grade,healthcare related,civial services,close to home,mother,< 15 min,5 to 10 hours,0,no,yes,yes,yes,yes,yes,yes,yes,average,below average,below average,very low,very low,very good,< 30,11 to 15,11 to 15,11 to 15,41.0
GP,F,16,U,GT3,T,3,3,other,other,home,father,1,2,0,no,yes,yes,no,yes,yes,no,no,4,3,2,1,2,5,4,6,10,10,GP,female,15-17,urban,greater than 3,living together,secondary education,secondary education,other,other,close to home,father,< 15 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,no,no,good,average,below average,very low,below average,very good,< 30,5 to 10,5 to 10,5 to 10,211.0
GP,M,16,U,LE3,T,4,3,services,other,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,4,2,1,2,5,10,15,15,15,GP,male,15-17,urban,less or equal to 3,living together,higher education,secondary education,civial services,other,school reputation,mother,< 15 min,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,excellent,above average,below average,very low,below average,very good,< 30,11 to 15,11 to 15,11 to 15,42.0
GP,M,16,U,LE3,T,2,2,other,other,home,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,4,1,1,3,0,12,12,11,GP,male,15-17,urban,less or equal to 3,living together,5th to 9th grade,5th to 9th grade,other,other,close to home,mother,< 15 min,2 to 5 hours,0,no,no,no,no,yes,yes,yes,no,good,above average,above average,very low,very low,average,< 30,11 to 15,11 to 15,11 to 15,163.0
GP,F,17,U,GT3,A,4,4,other,teacher,home,mother,2,2,0,yes,yes,no,no,yes,yes,no,no,4,1,4,1,1,1,6,6,5,6,GP,female,15-17,urban,greater than 3,part,higher education,higher education,other,teacher,close to home,mother,15 to 30 min,2 to 5 hours,0,yes,yes,no,no,yes,yes,no,no,good,very low,above average,very low,very low,very bad,< 30,5 to 10,5 to 10,5 to 10,337.0
GP,M,15,U,LE3,A,3,2,services,other,home,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,1,1,1,0,16,18,19,GP,male,15-17,urban,less or equal to 3,part,secondary education,5th to 9th grade,civial services,other,close to home,mother,< 15 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,good,below average,below average,very low,very low,very bad,< 30,> 15,> 15,> 15,2.0
GP,M,15,U,GT3,T,3,4,other,other,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,5,1,1,1,5,0,14,15,15,GP,male,15-17,urban,greater than 3,living together,secondary education,higher education,other,other,close to home,mother,< 15 min,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,excellent,very high,very low,very low,very low,very good,< 30,11 to 15,11 to 15,11 to 15,43.0
GP,F,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,3,3,3,1,2,2,0,10,8,9,GP,female,15-17,urban,greater than 3,living together,higher education,higher education,teacher,healthcare related,school reputation,mother,< 15 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,average,average,average,very low,below average,bad,< 30,5 to 10,5 to 10,5 to 10,266.0
GP,F,15,U,GT3,T,2,1,services,other,reputation,father,3,3,0,no,yes,no,yes,yes,yes,yes,no,5,2,2,1,1,4,4,10,12,12,GP,female,15-17,urban,greater than 3,living together,5th to 9th grade,primary education (4th grade),civial services,other,school reputation,father,30 min to 1 hour,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,no,excellent,below average,below average,very low,very low,good,< 30,5 to 10,11 to 15,11 to 15,132.0
GP,M,15,U,LE3,T,4,4,health,services,course,father,1,1,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,1,3,5,2,14,14,14,GP,male,15-17,urban,less or equal to 3,living together,higher education,higher education,healthcare related,civial services,course preference,father,< 15 min,< 2 hours,0,no,yes,yes,yes,yes,yes,yes,no,good,average,average,very low,average,very good,< 30,11 to 15,11 to 15,11 to 15,74.0
GP,M,15,U,GT3,T,4,3,teacher,other,course,mother,2,2,0,no,yes,yes,no,yes,yes,yes,no,5,4,3,1,2,3,2,10,10,11,GP,male,15-17,urban,greater than 3,living together,higher education,secondary education,teacher,other,course preference,mother,15 to 30 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,excellent,above average,average,very low,below average,average,< 30,5 to 10,5 to 10,11 to 15,164.0
GP,M,15,U,GT3,A,2,2,other,other,home,other,1,3,0,no,yes,no,no,yes,yes,yes,yes,4,5,2,1,1,3,0,14,16,16,GP,male,15-17,urban,greater than 3,part,5th to 9th grade,5th to 9th grade,other,other,close to home,other,< 15 min,5 to 10 hours,0,no,yes,no,no,yes,yes,yes,yes,good,very high,below average,very low,very low,average,< 30,11 to 15,> 15,> 15,25.0
