G1,G2,G3,school_C,sex_C,age_C,address_C,famsize_C,Pstatus_C,Medu_C,Fedu_C,Mjob_C,Fjob_C,reason_C,guardian_C,traveltime_C,studytime_C,failures_C,schoolsup_C,famsup_C,paid_C,activities_C,nursery_C,higher_C,internet_C,romantic_C,famrel_C,freetime_C,goout_C,Dalc_C,Walc_C,health_C,absences_C,G1_C,G2_C,G3_C,rank
19,19,20,0,0,0,0,1,0,4,3,1,2,1,0,1,4,0,1,1,1,0,0,0,0,1,4,2,2,1,1,2,0,3,3,3,1.0
7,10,20,1,1,1,1,1,1,0,2,2,2,1,0,3,4,0,1,1,1,0,1,0,0,0,5,3,3,5,4,3,1,3,3,2,2.0
9,1,20,0,1,0,1,0,1,2,3,0,2,2,0,1,3,2,1,0,1,0,1,1,0,1,5,1,5,3,1,2,0,1,1,2,3.0
12,15,20,1,0,0,0,1,0,2,2,2,4,0,1,1,1,0,0,0,0,1,0,1,0,0,3,5,5,2,3,1,2,0,1,1,4.0
3,10,20,1,1,1,0,1,0,0,4,4,0,0,1,3,4,2,1,0,1,1,0,1,1,0,2,1,3,5,2,5,0,0,1,1,5.0
11,13,20,1,0,1,0,0,1,1,4,0,0,3,2,3,4,3,1,1,0,1,0,1,0,1,4,5,2,5,3,1,1,1,3,1,6.0
12,1,20,0,0,1,0,1,1,4,4,1,2,1,2,4,4,1,1,0,0,0,1,0,1,1,3,4,1,3,1,4,2,3,0,1,7.0
8,15,20,1,1,1,0,1,1,1,4,3,3,0,0,1,1,3,0,1,1,0,1,0,1,0,5,4,2,5,2,3,0,1,3,1,8.0
11,9,20,1,0,1,1,0,0,1,1,1,2,0,2,2,2,2,1,0,0,0,0,0,0,0,1,3,3,2,5,5,0,3,1,2,9.0
13,1,20,0,1,0,0,0,1,1,1,4,1,2,0,1,1,2,1,1,0,0,0,0,0,0,1,1,5,5,4,3,1,1,3,3,10.0
13,11,20,1,0,1,0,0,1,2,2,2,4,0,2,3,3,2,0,0,1,0,1,1,1,0,5,3,4,3,1,1,0,0,1,2,11.0
13,4,20,1,0,1,1,1,0,3,4,2,4,1,1,1,4,2,1,1,1,1,1,1,0,1,2,2,2,2,1,4,2,3,3,3,12.0
3,12,20,1,1,1,0,0,1,3,3,1,2,2,1,1,4,2,0,0,0,0,1,0,1,0,5,3,5,5,2,2,2,3,1,1,13.0
6,16,20,0,0,1,1,0,0,0,3,2,2,1,2,4,4,1,1,1,1,1,0,0,0,1,5,5,1,3,2,2,1,1,1,3,14.0
