execution time
40000 0.969426155090332 14.53416395187378
45000 1.220876932144165 14.882438898086548
50000 2.5097241401672363 31.311450719833374
55000 4.505940914154053 47.45261287689209
60000 7.420943737030029 68.23140907287598
65000 9.823894023895264 80.88518285751343
70000 16.945587873458862 111.03650093078613
75000 20.779556035995483 127.42944312095642
80000 23.57990002632141 126.12985897064209
85000 26.48345398902893 136.0887348651886
90000 32.955177307128906 147.54569816589355
95000 42.190593004226685 154.13502311706543
100000 41.511136054992676 155.71643781661987


number of calculations
40000 8923.0 102824.0
45000 9387.0 103086.0
50000 14647.0 104345.0
55000 18631.0 105781.0
60000 21676.0 107344.0
65000 26025.0 108801.0
70000 29978.0 110194.0
75000 32414.0 111697.0
80000 36139.0 112919.0
85000 37939.0 113831.0
90000 41224.0 114640.0
95000 44131.0 115478.0
100000 46959.0 116448.0
