execution time
10000 17.375598907470703 1206.8156192302704
20000 55.3289589881897 1203.5195331573486
30000 82.20917797088623 1212.6176838874817
35000 153.57842803001404 1217.3964779376984
40000 228.5964150428772 1209.0889480113983
45000 310.9502160549164 1202.682727098465
50000 413.32953810691833 1200.8255400657654
55000 522.0776810646057 1208.9513368606567
60000 655.542505979538 1203.6167390346527


number of calculations
10000 449701.0 10500632.0
20000 817780.0 6642196.0
30000 1051313.0 5149160.0
35000 1097526.0 2857637.0
40000 1188877.0 2084221.0
45000 1276126.0 1662902.0
50000 1442890.0 1323885.0
55000 1521421.0 1157604.0
60000 1682377.0 1027462.0
