execution time
40000 584.4957511425018 1224.6257829666138
45000 716.8859691619873 1206.8613901138306
50000 1041.9417190551758 1206.4804170131683
55000 1200.0235350131989 1223.938954591751
60000 1200.0504939556122 1220.1109907627106
65000 1161.654170036316 1271.1910707950592
70000 1171.8614110946655 1200.8182790279388
75000 1184.8070828914642 1232.519847869873
80000 1200.0092461109161 1208.938865184784
85000 1200.002701997757 1212.8837502002716
90000 1200.0146789550781 1239.863904953003
95000 1200.0028359889984 1202.6121850013733
100000 1200.0048639774323 1205.4937751293182


number of calculations
40000 95261.0 214488.0
45000 108206.0 186836.0
50000 114993.0 140136.0
55000 115317.0 132072.0
60000 105356.0 154472.0
65000 134023.0 154472.0
70000 142260.0 177680.0
75000 150731.0 158952.0
80000 136695.0 140136.0
85000 124474.0 126696.0
90000 113755.0 124456.0
95000 128631.0 132072.0
100000 144459.0 158952.0
