execution time
1 1200.0018441677094 1214.3488380908966
10 1200.0214610099792 1200.9711258411407
20 1200.0196199417114 1211.2801349163055
30 1200.0387971401215 1201.421774148941
40 1200.0283160209656 1207.1122410297394
50 1200.0044610500336 1200.133927822113
60 1200.0141370296478 1202.9833867549896
70 1052.206447839737 1207.4185438156128
80 964.0254399776459 1206.5927209854126
90 908.0113096237183 1215.7828261852264
100 829.6193611621857 1207.796894311905
200 523.7409219741821 1204.6158759593964
500 222.34004664421082 1202.838160276413
1000 106.26563000679016 1203.0465540885925


number of calculations
1 326811.0 279464.0
10 187121.0 180816.0
20 184439.0 198148.0
30 201275.0 224456.0
40 240913.0 254264.0
50 370080.0 394888.0
60 395324.0 491000.0
70 466271.0 561208.0
80 433169.0 561208.0
90 408538.0 561208.0
100 381542.0 561208.0
200 241371.0 561208.0
500 110453.0 689687.0
1000 56631.0 699095.0


number of patterns found
1 1899 
