execution time
6000 2.5276968479156494 326.0862669944763
8000 4.8672521114349365 592.475900888443
10000 9.54523491859436 882.5468919277191
12000 12.16244387626648 972.8738610744476
14000 10.681056022644043 860.6951370239258
16000 15.169201374053955 1092.2446489334106
18000 22.129960775375366 1216.514415025711
20000 22.693100929260254 1197.6856429576874


number of calculations
6000 9691.0 1309511.0
8000 12038.0 1310180.0
10000 13964.0 1310504.0
12000 15417.0 1310798.0
14000 18158.0 1311287.0
16000 20910.0 1311653.0
18000 23462.0 1312109.0
20000 26979.0 1312904.0
