execution time
10000 14.086465835571289 1322.5868837833405
20000 34.82978892326355 1203.7802889347076
30000 55.520774841308594 1238.505755186081
35000 171.21170496940613 1209.3667776584625
40000 297.7966969013214 1209.3515331745148
45000 398.8974049091339 1215.2178511619568
50000 561.5106139183044 1208.2870218753815
55000 475.78762221336365 1227.6820170879364
60000 581.831788778305 1216.9417700767517


number of calculations
10000 16663.0 1404356.0
20000 24895.0 928826.0
30000 29963.0 784836.0
35000 37867.0 303630.0
40000 44066.0 192970.0
45000 49209.0 162390.0
50000 56752.0 138520.0
55000 62377.0 170860.0
60000 67554.0 143140.0
