execution time
50000 5.741724014282227 30.58232021331787
55000 7.972253084182739 36.98796081542969
60000 10.039999961853027 44.14948296546936
65000 14.580023765563965 54.853492975234985
70000 15.174223899841309 60.58640432357788
75000 18.229278087615967 62.647661209106445
80000 19.192296981811523 69.69587898254395
85000 22.46773386001587 89.37135004997253
90000 36.36787009239197 71.15803813934326
95000 27.8519229888916 72.92213296890259
100000 28.18751811981201 73.35686230659485


number of calculations
50000 12532.0 78335.0
55000 13700.0 78335.0
60000 14781.0 78335.0
65000 15415.0 78335.0
70000 16614.0 78335.0
75000 18011.0 78335.0
80000 19201.0 78335.0
85000 20381.0 78335.0
90000 22341.0 78335.0
95000 25139.0 78335.0
100000 25828.0 78335.0
