execution time
6000 0.20161890983581543 0.5712029933929443
8000 0.3524641990661621 1.0525639057159424
10000 0.6051719188690186 1.3904597759246826
12000 0.7586309909820557 1.5369181632995605
14000 1.3304541110992432 2.0716617107391357
16000 1.363544225692749 2.033759832382202
18000 1.8005330562591553 2.2788872718811035
20000 2.01593017578125 2.7839558124542236


number of calculations
6000 1735.0 10799.0
8000 2369.0 10799.0
10000 3256.0 10799.0
12000 3801.0 10799.0
14000 4712.0 10799.0
16000 5247.0 10799.0
18000 5953.0 10799.0
20000 6556.0 10799.0
