execution time
40000 0.6958341598510742 10.07919692993164
45000 0.763002872467041 10.31509017944336
50000 1.866015911102295 23.381920099258423
55000 3.337061882019043 34.40399885177612
60000 4.859171152114868 45.069571018218994
65000 6.948307037353516 52.742563009262085
70000 9.016992092132568 60.22664999961853
75000 11.324454069137573 68.8228440284729
80000 13.322946071624756 72.0373969078064
85000 15.495757102966309 77.50294399261475
90000 18.983879804611206 84.35340189933777
95000 21.832911252975464 86.56743311882019
100000 23.430100917816162 91.15380883216858


number of patterns visited
40000 6946.0 97919.0
45000 7261.0 97919.0
50000 11668.0 97919.0
55000 15034.0 97919.0
60000 17372.0 97919.0
65000 20690.0 97919.0
70000 23926.0 97919.0
75000 25904.0 97919.0
80000 29017.0 97919.0
85000 30407.0 97919.0
90000 32973.0 97919.0
95000 35038.0 97919.0
100000 37272.0 97919.0
