overall accuracy: 0.8234996841440303
execution time
10 576.1747760772705
20 344.87236309051514
30 186.32034516334534
40 120.24606895446777
50 83.04090714454651
60 61.420116901397705
70 49.68864369392395
80 42.170762062072754
90 37.37681198120117
100 32.081565380096436


number of calculations
10 4531552.0
20 2493099.0
30 1683536.0
40 1243399.0
50 1023982.0
60 806504.0
70 661554.0
80 560310.0
90 498991.0
100 428475.0


number of patterns found
10 1942 
