execution time
400 3.6536331176757812 40.73761606216431
500 1.6994211673736572 34.7946891784668
600 1.514997959136963 31.276434183120728
700 1.8160278797149658 32.286837100982666
800 1.365757942199707 31.217766284942627
900 1.5070257186889648 32.08632183074951
1000 1.661433219909668 34.891326904296875
1100 1.7993409633636475 37.872952699661255
1200 2.0056400299072266 42.416507959365845


number of patterns
400 90631 959046
500 41462 637587
600 32455 514787
700 33587 455871
800 23120 407690
900 24083 416156
1000 24372 414915
1100 24735 412615
1200 25953 422601
