execution time
7000 2.6223578453063965 18.020116806030273
8000 1.171349048614502 17.15755605697632
9000 1.8830530643463135 21.211573362350464
10000 2.309580087661743 25.960741996765137
11000 2.3871052265167236 30.37984323501587
12000 2.908257007598877 40.998886823654175
13000 4.103503227233887 47.071248292922974
14000 4.5287981033325195 61.083189964294434
15000 6.723484039306641 66.02830934524536
16000 6.134245872497559 59.86547899246216
17000 5.454391717910767 71.55710315704346
18000 5.45386815071106 69.27441883087158


number of patterns
7000 33499 247215
8000 8224 106621
9000 7821 103931
10000 7909 106584
11000 7814 105448
12000 8177 107585
13000 8407 108628
14000 8338 106683
15000 8224 106944
16000 7666 104511
17000 7654 104745
18000 7860 105722
