execution time
400 1.7791712284088135 21.128772020339966
500 1.3582289218902588 20.910969018936157
600 1.2172930240631104 23.495854139328003
700 1.497934103012085 30.76399517059326
800 1.7650961875915527 30.531946897506714
900 1.6764678955078125 31.98926305770874
1000 2.0684258937835693 33.27647805213928
1100 2.1517388820648193 34.252431869506836
1200 2.2869999408721924 39.956263065338135


number of patterns
400 35013 416526
500 20553 317953
600 17141 275653
700 17671 257473
800 13995 244574
900 14298 247436
1000 14327 245161
1100 14507 247303
1200 15130 254477
