execution time
8000 1.0461459159851074 2.4933247566223145
9000 1.1935348510742188 3.0582361221313477
10000 1.1316289901733398 3.53715181350708
11000 1.2387619018554688 3.9371421337127686
12000 1.504615306854248 4.320127964019775
13000 1.63975191116333 4.892804145812988
14000 1.4558179378509521 5.034548997879028
15000 1.7325489521026611 5.718209981918335
16000 1.8046650886535645 5.981952905654907
17000 1.872628927230835 6.62011194229126
18000 1.9993879795074463 7.396057844161987


number of patterns
8000 9101 10344
9000 8755 9264
10000 8387 8822
11000 8745 9232
12000 8982 9489
13000 8723 9241
14000 8555 9075
15000 9129 9633
16000 8900 9371
17000 8875 9321
18000 8729 9165
