execution time
400 0.7071571350097656 8.553010940551758
500 0.5181477069854736 7.460843086242676
600 0.540496826171875 7.404760837554932
700 0.5790271759033203 7.987006902694702
800 0.5668067932128906 8.89240574836731
900 0.5754492282867432 14.187042951583862
1000 0.8132507801055908 14.859415054321289
1100 0.7411060333251953 13.362236261367798
1200 0.8667960166931152 20.807375192642212


number of patterns
400 20757 247494
500 12981 198324
600 10986 177288
700 11308 169610
800 9460 164740
900 9593 166785
1000 9591 165326
1100 9648 167538
1200 10011 172055
