execution time
7000 1.3040597438812256 9.709626197814941
8000 0.7806260585784912 9.997265815734863
9000 1.0329601764678955 12.748296022415161
10000 1.4450390338897705 19.526842832565308
11000 2.7495667934417725 26.551295042037964
12000 2.1204779148101807 31.994487047195435
13000 2.8940930366516113 32.761590003967285
14000 2.753026008605957 34.741251945495605
15000 3.0104598999023438 43.51543593406677
16000 3.7338650226593018 49.33592987060547
17000 4.158334970474243 63.46521329879761
18000 6.1418538093566895 68.88470315933228


number of patterns
7000 19963 168613
8000 6415 89313
9000 6124 86687
10000 6181 88958
11000 6143 87932
12000 6346 89061
13000 6514 89958
14000 6452 88441
15000 6335 88966
16000 5944 86817
17000 5939 86945
18000 6051 87480
