execution time
400 0.6047990322113037 9.364710807800293
500 0.524507999420166 7.0159149169921875
600 0.47381019592285156 7.066447973251343
700 0.5433979034423828 8.146997928619385
800 0.7026050090789795 9.24064588546753
900 0.7180991172790527 11.206279993057251
1000 0.638092041015625 12.133590936660767
1100 0.6970219612121582 13.705267906188965
1200 0.7536978721618652 14.225066184997559


number of patterns
400 20757 247494
500 12981 198324
600 10986 177288
700 11308 169610
800 9460 164740
900 9593 166785
1000 9591 165326
1100 9648 167538
1200 10011 172055
