execution time
400 12.351507902145386 28.97585105895996
500 8.392774105072021 21.25938081741333
600 6.8573760986328125 23.944432735443115
700 9.457064151763916 33.643754959106445
800 8.933837175369263 38.85927414894104
900 11.055843114852905 52.067907094955444
1000 14.199216842651367 74.4466826915741
1100 17.831251859664917 86.66833710670471
1200 23.794771909713745 127.1933479309082


number of patterns
400 619583 725901
500 347409 529025
600 325448 540278
700 416622 683768
800 405817 756842
900 513794 951706
1000 595592 1151170
1100 741597 1430853
1200 944990 1808253
