execution time
0.05 0.2456221580505371 0.8679969310760498
0.1 0.28380799293518066 0.8387179374694824
0.15 0.2628822326660156 0.8850090503692627
0.2 0.2192239761352539 0.6918830871582031
0.25 0.22483301162719727 0.7271411418914795
0.3 0.20476865768432617 0.7456550598144531
0.35 0.21186089515686035 0.7441589832305908
0.4 0.2077479362487793 0.8332240581512451
0.45 0.23427915573120117 0.6963579654693604
0.5 0.18964409828186035 0.6653928756713867


number of patterns checked
0.05 583 1149
0.1 581 1149
0.15 581 1149
0.2 583 1149
0.25 582 1149
0.3 582 1149
0.35 583 1149
0.4 583 1149
0.45 583 1149
0.5 583 1149
