execution time
1 0.538780927658081 0.8244621753692627
10 0.2883472442626953 0.8375239372253418
20 0.2511789798736572 0.7007207870483398
30 0.28301119804382324 0.8741769790649414
40 0.1947801113128662 0.6718850135803223
50 0.22830891609191895 0.7458279132843018
60 0.16843295097351074 0.6140930652618408
70 0.21735501289367676 0.9350869655609131
80 0.14855194091796875 0.5762791633605957
90 0.14872407913208008 0.592775821685791
100 0.14284968376159668 0.5378327369689941
200 0.1215212345123291 0.5158870220184326
500 0.1243600845336914 0.5010948181152344
1000 0.11682415008544922 0.5102400779724121


number of patterns checked
1 2590 4119
10 1136 1933
20 752 1388
30 581 1149
40 474 992
50 417 880
60 384 802
70 349 744
80 317 696
90 286 651
100 268 607
200 157 373
500 74 193
1000 25 104
